Experiment_id,Temperature,Model,Place,Income,Answers,Obs.,Configuration
TU2_3_1_1,0.01,llama-2-70b,hotel,0,"['$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00']",50,1
TU2_3_1_1,0.5,llama-2-70b,hotel,0,"['$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00']",50,1
TU2_3_1_1,1.0,llama-2-70b,hotel,0,"['$5.00', '$5.00', '$7.50', '$5.00', '$5.00', '$5.00', '$7.50', '$5.00', '$4.50', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$7.50', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$7.50', '$5.00', '$7.50', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$4.50', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$7.50', '$7.50', '$5.00', '$5.00', '$5.00', '$5.00', '$7.50', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00', '$5.00']",50,1
TU2_3_1_1,1.5,llama-2-70b,hotel,0,"['$7.50', '$6.50', '$6.50', '$7.50', '$5.00', '$5.00', '$7.50', '$5.00', '$5.00', '$7.50', '$6.50', '$5.00', '$5.00', '$5.00', '$5.00', '$7.50', '$7.50', '$4.50', '$5.00', '$6.50', '$5.00', '$5.00', '$6.50', '$4.50', '$6.50', '$5.00', '$7.50', '$5.00', '$4.50', '$5.00', '$5.00', '$5.00', '$7.50', '$5.00', '$5.00', '$7.50', '$7.50', '$5.00', '$7.50', '$4.50', '$5.00', '$7.50', '$4.50', '$5.00', '$6.50', '$7.50', '$7.50', '$4.50', '$5.00', '$8.50']",50,1
TU2_3_1_1,2.0,llama-2-70b,hotel,0,"['$4.50', '$6.50', '$7.50', '$5.00', '$5.50', '$5.50', '$5.50', '$6.50', '$6.50', '$4.50', '$5.50', '$5.00', '$4.50', '$5.00', '$4.75', '$8.50', '$7.50', '$7.50', '$5.00', '$7.50', '$5.00', '$5.00', '$6.75', '$5.50', '$5.00', '$6.50', '$4.99', '$5.50', '$5.50', '$5.50', '$4.50', '$5.50', '$5.50', '$4.50', '$5.50', '$4.50', '$4.50', '$6.50', '$5.00', '$6.50', '$5.50', '$6.75', '$5.00', '$5.00', '$5.50', '$7.50', '$7.50', '$5.00', '$5.00', '$5.00']",50,1
TU2_1_1_2,0.01,gpt-3.5-turbo,hotel,$50k,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",100,2
TU2_1_1_2,0.5,gpt-3.5-turbo,hotel,$50k,"['$10', '$7', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",100,2
TU2_1_1_2,1.0,gpt-3.5-turbo,hotel,$50k,"['$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$7', '$5', '$10', '$10', '$10', '$10', '$10', '$7', '$8', '$7', '$5', '$10', '$10', '$10', '$10', '$10', '$5', '$6', '$10', '$10', '$8', '$10', '$10', '$8', '$10', '$8', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$5', '$7', '$10', '$10', '$10', '$7', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$8', '$10', '$7', '$8', '$10', '$10', '$10', '$10', '$10', '$5', '$5', '$10', '$10', '$7', '$10', '$5', '$7', '$5']",100,2
TU2_1_1_2,1.5,gpt-3.5-turbo,hotel,$50k,"['$6', '$8', '$10', '$7', '$10', '$5', '$7', '$10', '$10', '$6', '$15', '$10', '$10', '$5', '$6', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$7', '$10', '$10', '$10', '$10', '$5', '$5', '$8', '$8', '$8', '$10', '$6', '$9', '$5', '$8', '$8', '$10', '$5', '$7', '$10', '$5', '12.', '$10', '$10', '$10', '$10', '$10', '$7', '$10', '$10', '$8', '$5', '$7', '$5', '$10', '$6', '$10', '$10', '$7', '$5', '$10', '$10', '$10', '$10', '$6', '$5', '$9', '$10', '$8', '$10', '$5', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$15', '$10', '$10', '$10', '$10', '$7', '$10', '$7', '$10', '$6', '$8', '$10', '$8', '$10', '$9', '$10']",99,2
TU2_1_1_2,2.0,gpt-3.5-turbo,hotel,$50k,"['$7', '$8', '$8', '$12', '$12', '$10', '$5', '$20', '$4', '$8', '$15', '$5', '$7', '$10', '$15', '$7', '$10', '$5', '$5', '$10', '$10', '$10', '- Ten', '$10', '10.', '$5', '$10', '$8', '$7', '$5', '$10', '$7', '$10', '$10', 'Beer price', '$10', '34.', '$10', '$10', '$10', '$10', '$12', '$I000', '$20', '$10', '$8', '$5', '$10', '$10', '$9', '$10', '$10', '$7', '$5', '$5', '$10', '$ attention', '$10', '$5', '$10', '10.', '$10', '$10', '$15', 'IC', 'Jan.ReadToEnd', '$8', '$10', '$10', '$10', '-$8', '$10', '$5', '$5', '$7', '$5', '$76', '$7', '$15', '$10', '$12', '$10', '$13', '$7', '$12', '$10', '$12', '18.', '$12', '$15', '$8', '$8', '$10', '$8', '$7', '$5', '$8', '$5', '$10', '$5']",91,2
TU2_2_1_2,0.01,gpt-4-1106-preview,hotel,$50k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,2
TU2_2_1_2,0.5,gpt-4-1106-preview,hotel,$50k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,2
TU2_2_1_2,1.0,gpt-4-1106-preview,hotel,$50k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,2
TU2_2_1_2,1.5,gpt-4-1106-preview,hotel,$50k,"['$7', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,2
TU2_2_1_2,2.0,gpt-4-1106-preview,hotel,$50k,"['$12', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$100', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$100', '$4', '$6', '$6', '$4', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,2
TU2_3_1_2,0.01,llama-2-70b,hotel,$50k,"['$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50', '$7.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50']",50,2
TU2_3_1_2,0.5,llama-2-70b,hotel,$50k,"['$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50']",50,2
TU2_3_1_2,1.0,llama-2-70b,hotel,$50k,"['$4.50', '$7.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$4.50', '$4.50', '$7.50', '$7.50', '$7.50', '$4.50', '$4.50', '$4.50', '$7.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$7.50', '$7.50', '$4.50', '$7.50', '$7.50', '$7.50', '$7.50', '$7.50', '$4.50']",50,2
TU2_3_1_2,1.5,llama-2-70b,hotel,$50k,"['$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$4.50', '$7.50', '$7.50', '$4.50', '$4.50', '$4.50', '$4.50', '$4.50', '$4.99', '$4.50', '$7.50', '$4.50', '$7.50', '$7.50', '$4.99', '$4.50', '$7.50', '$7.50', '$7.50', '$4.50', '$7.50', '$4.50', '$7.50', '$4.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$7.50', '$4.50', '$4.50', '$7.50', '$7.50', '$4.50', '$7.50', '$4.50', '$7.50', '$4.50']",50,2
TU2_3_1_2,2.0,llama-2-70b,hotel,$50k,"['$4.50', '$7.50', 'Sure! The price I would give in this', '$7.50', ""Sure! I'd be happy to help"", '$8.75', '$7.50', '$4.50', '$7.50', '$4.99', '$4.99', '$7.50', ""Sure! Here's my answer:"", '$8.50', '$4.99', '$4.50', '$7.50', '$7.50', '$7.50', '$8.75', '$4.50', '$7.50', '$7.50', '$4.50', '$7.50', 'I would say $7.50.', '$4.50', '$4.50', '$4.50', '$4.50', '$4.99', '$7.50', '$8.50', ""Sure! Here's my answer:"", '$4.50', '$4.99', '$7.50', '$8.50', '$4.50', '$4.50', 'Sure! The price I would give my companion', '$7.50', '$4.50', '$4.50', '$7.50', '$4.50', '$8.75', '$7.50', '$4.50', '$7.50']",44,2
TU2_1_1_3,0.01,gpt-3.5-turbo,hotel,$70k,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",100,3
TU2_1_1_3,0.5,gpt-3.5-turbo,hotel,$70k,"['$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$8', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$8']",100,3
TU2_1_1_3,1.0,gpt-3.5-turbo,hotel,$70k,"['$7', '$10', '$7', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$10', '$10', '$8', '$7', '$8', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$8', '$8', '$7', '$10', '$10', '$8', '$10', '$10', '$5', '$10', '$10', '$8', '$5', '$10', '$5', '$10', '$8', '$5', '$10', '$10', '$10', '$10', '$10', '$7', '$10', '$5', '$8', '$8', '$10', '$8', '$8', '$10', '$10', '$15', '$7', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$9', '$10', '$8', '$10', '$10', '$8', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$7', '$10', '$7', '$12', '$8', '$10', '$10', '$10', '$10', '$10', '$5', '$8', '$7', '$10']",100,3
TU2_1_1_3,1.5,gpt-3.5-turbo,hotel,$70k,"['$15', '$9', '136.', '$10', '$10', '$10', '$10', '$7', '$10', '$7', '$10', '$10', '$15', '$8', '$8', '$7', '$10', '$12', '$5', '$8', '$10', '$15', '$5', '$10', '$5', '10.', '$15', '$10', '$8', '$10', '$15', '$5', '$10', '$9', '$15', '$10', '$12', '$10', '$10', '$10', '$10', '$7', '$8', '$10', '$15', '$10', '$15', '$7', '$8', '$10', '$7', '$5', '$7', '$8', '$12', '$10', '$10', '$5', '$10', '$10', '$20', '$10', '$5', '$10', '$7', '$7', '$10', '$12', '$7', '$10', '$7', '$8', '$8', '$12', '$8', '$7', '$10', '$7', '$6', '$5', '$8', '$10', '$10', '$10', '$7', '$6', '$9', '$6', '$10', '$10', '$10', '$10', '$12', '$7', '$8', '$10', '$10', '$5', '$10', '$8']",98,3
TU2_1_1_3,2.0,gpt-3.5-turbo,hotel,$70k,"['11.', '$7', '$7', '$6', '$5', '$7', 'dollar', '$8', '$8', '$10', '$15', '$5', '$7', '$8', '$8', '$8', '$10', '$5', '$10', '$10', '$7', '$10', '$5', '$8', '$9', '$10', '$8', '17.', '$7', '$5', '$10', '$5', '$10', '$7', '10.', '$6', '$9', '$7', '$5', '$7', '$7', '$7', '$10', '$12', '$5', '$7', '$10', '$9', '$8', '$15', '$10', '$10', '$10', '$15', '$8', '$10', '$20', '$10', '$10', '$8', '$20', '$3', '$6', '$10', '$8', '$10', '$14', '$5', 'Example Solution', '$10', '$8', '$7', '$10', '$15', '16.', '$8', '$12', '$10', '$20', '$12', '$10', '$10', '$10', '$10', '$10', '$8', '$20', '$6', '$10', '$8', '$10', 'I would', '$10', '$10', '$10', '$8', '$7', '$15', '$11', '$5']",93,3
TU2_2_1_3,0.01,gpt-4-1106-preview,hotel,$70k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,3
TU2_2_1_3,0.5,gpt-4-1106-preview,hotel,$70k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,3
TU2_2_1_3,1.0,gpt-4-1106-preview,hotel,$70k,"['$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6']",50,3
TU2_2_1_3,1.5,gpt-4-1106-preview,hotel,$70k,"['$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6']",50,3
TU2_2_1_3,2.0,gpt-4-1106-preview,hotel,$70k,"['$6', '$6', '$6', '$6', '$7', '$6', '$6', '$7', '$7', '$7', '$7', '$7', '$6', '$6', '$6', '$6', '$6', '$6', '$12', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$6', '$15', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$7', '$6', '$6', '$6', '$6', '$6', '$7']",50,3
